Administrative,Administrative_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,Revenue
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
4.0,56.0,36.0,998.7416667,0.0,0.014736467,False
0.0,0.0,4.0,104.0,0.0,0.05,False
2.0,16.0,16.0,381.6865079,0.011764706,0.046568627,False
0.0,0.0,6.0,169.0,0.0,0.016666667,False
0.0,0.0,8.0,400.8,0.0031124675,0.0251564025,False
1.0,7.5,42.0,1553.583333,0.009,0.019666667,False
0.0,0.0,14.0,706.5,0.0,0.007142857,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
3.0,87.83333333,27.0,798.3333333,0.0,0.012643678,True
4.0,44.0,18.0,598.9369047499999,0.002150538,0.015013034,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,18.0,902.0,0.0,0.007407407,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,20.0,197.3777778,0.025,0.0525,False
0.0,0.0,2.0,43.0,0.0,0.1,False
0.0,0.0,8.0,426.6666667,0.0,0.0125,False
0.0,0.0,3.0,135.0,0.0,0.066666667,False
0.0,0.0,16.0,588.3333333,0.0,0.025,False
10.0,7.5,36.0,2111.341667,0.004347826,0.014492754,True
0.0,0.0,2.0,76.0,0.0,0.05,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,7.0,208.0,0.0,0.028571429,False
0.0,0.0,4.0,270.0,0.0,0.016666667,False
0.0,0.0,6.0,39.5,0.0,0.02,False
0.0,0.0,12.0,375.0,0.016666667,0.058333333,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,7.0,150.0,0.0031124675,0.085714286,False
0.0,0.0,3.0,138.0,0.0,0.066666667,False
0.0,0.0,7.0,337.5,0.028571429,0.023809524,False
0.0,0.0,19.0,620.0333333,0.0,0.007894737,False
2.0,36.0,15.0,168.8461538,0.0,0.011764706,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,2.0,52.0,0.0,0.1,False
0.0,0.0,13.0,649.25,0.0,0.015384615,False
0.0,0.0,27.0,925.3333333,0.003703704,0.025925926,False
0.0,0.0,2.0,33.0,0.0,0.1,False
0.0,0.0,6.0,1566.5,0.0031124675,0.066666667,False
0.0,0.0,4.0,105.0,0.0,0.025,False
0.0,0.0,7.0,50.0,0.038095238,0.080952381,False
0.0,0.0,16.0,644.2,0.004166667,0.031666667,False
3.0,18.33333333,38.0,2635.177778,0.0,0.008947368,False
4.0,61.0,19.0,607.0,0.0,0.026984127,True
0.0,0.0,6.0,415.0,0.0,0.033333333,False
2.0,31.0,36.0,2083.530952,0.0,0.01351025,False
3.0,58.5,17.0,281.6666667,0.007058824,0.017647059,False
0.0,0.0,2.0,27.0,0.0031124675,0.0251564025,False
0.0,0.0,9.0,215.0,0.0031124675,0.074074074,False
0.0,0.0,12.0,162.0,0.0031124675,0.066666667,False
0.0,0.0,2.0,114.0,0.0031124675,0.066666667,False
6.0,7.5,18.0,598.9369047499999,0.000854701,0.01791847,False
0.0,0.0,4.0,253.0,0.0,0.016666667,False
0.0,0.0,4.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
2.0,22.0,25.0,436.5,0.008,0.024,False
0.0,0.0,30.0,1045.833333,0.012903226,0.035483871,False
0.0,0.0,12.0,317.8333333,0.0,0.005555556,False
0.0,0.0,21.0,1146.333333,0.0,0.012962963,False
0.0,0.0,11.0,577.0,0.018181818,0.027272727,False
0.0,0.0,8.0,95.0,0.0,0.075,False
0.0,0.0,6.0,301.5,0.0,0.0251564025,False
0.0,0.0,6.0,243.0,0.0,0.033333333,False
0.0,0.0,4.0,135.5,0.0,0.05,False
0.0,0.0,14.0,442.3333333,0.0,0.034375,False
0.0,0.0,3.0,41.0,0.0,0.066666667,False
0.0,0.0,11.0,292.9,0.028,0.0251564025,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,9.0,1238.333333,0.0,0.040740741,False
0.0,0.0,10.0,225.4666667,0.0,0.05,False
4.0,7.5,51.0,1873.216667,0.0,0.00754717,False
0.0,0.0,3.0,13.0,0.0031124675,0.0251564025,False
0.0,0.0,2.0,222.0,0.0,0.1,False
2.0,20.0,16.0,214.8333333,0.0,0.022222222,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,6.0,2017.166667,0.0,0.011111111,False
6.0,111.5,26.0,449.0277778,0.0,0.018518519,False
0.0,0.0,6.0,158.1666667,0.0,0.033333333,False
0.0,0.0,9.0,303.6666667,0.005555556,0.046296296,False
0.0,0.0,3.0,25.0,0.0,0.066666667,False
0.0,0.0,2.0,42.0,0.0031124675,0.0251564025,False
4.0,103.625,14.0,1003.416667,0.0,0.018039216,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,9.0,272.5,0.0,0.011851852,False
3.0,19.0,8.0,344.0,0.0,0.007407407,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,10.0,852.0,0.0,0.009090909,False
0.0,0.0,3.0,780.0,0.0031124675,0.066666667,False
0.0,0.0,3.0,1038.0,0.0,0.033333333,False
0.0,0.0,4.0,573.0,0.0,0.05,False
0.0,0.0,28.0,1231.233333,0.007142857,0.030357143,False
0.0,0.0,11.0,316.6666667,0.0,0.027272727,False
0.0,0.0,20.0,873.7365079,0.0075,0.028166667,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,4.0,16.0,0.0031124675,0.0251564025,False
0.0,0.0,19.0,615.0,0.0,0.026315789,False
0.0,0.0,9.0,261.75,0.0,0.026666667,False
0.0,0.0,21.0,615.8831169,0.033333333,0.04993081,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,6.0,117.5,0.0,0.033333333,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,23.0,501.6666667,0.008695652,0.01884058,False
2.0,58.0,31.0,829.1666667,0.03030303,0.040606061,False
1.0,9.5,23.0,1223.0,0.015217391,0.012463768,False
0.0,0.0,6.0,467.0,0.0,0.016666667,False
0.0,0.0,23.0,737.1666667,0.008695652,0.011594203,False
0.0,0.0,12.0,129.0,0.0,0.033333333,False
0.0,0.0,5.0,63.0,0.0,0.04,False
0.0,0.0,5.0,125.0,0.0031124675,0.0251564025,False
0.0,0.0,11.0,684.3333333,0.018181818,0.063636364,False
0.0,0.0,20.0,665.4722222,0.0,0.0145,False
1.0,0.0,15.0,487.5,0.0,0.019166667,False
0.0,0.0,17.0,437.1666667,0.011111111,0.033333333,False
0.0,0.0,3.0,55.0,0.0031124675,0.1,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
5.0,41.3,24.0,446.9277778,0.0,0.008602151,False
3.0,87.0,10.0,320.5,0.0,0.015384615,False
0.0,0.0,7.0,666.0,0.0,0.014285714,False
1.0,0.0,21.0,405.7095238,0.010743802,0.047002635,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,6.0,163.25,0.033333333,0.033333333,False
0.0,0.0,17.0,284.25,0.0,0.011764706,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,8.0,260.0,0.008333333,0.025,False
0.0,0.0,5.0,279.8571429,0.003174603,0.012764202,False
0.0,0.0,20.0,927.45,0.011111111,0.027248677,False
2.0,9.0,50.0,836.8,0.0,0.006339869,False
10.0,7.5,18.0,3283.166739,0.001960784,0.013509414,False
9.0,111.5,49.0,1868.819697,0.0,0.020708874,True
3.0,47.0,68.0,3008.124108,0.007142857,0.016727891,False
0.0,0.0,2.0,0.0,0.0031124675,0.0251564025,False
3.0,7.5,24.0,3230.25,0.036190476,0.096,False
3.0,52.0,9.0,319.0,0.0,0.02,False
0.0,0.0,3.0,42.0,0.0,0.066666667,False
0.0,0.0,22.0,354.3333333,0.009090909,0.057662338,False
0.0,0.0,18.0,598.9369047499999,0.002061856,0.010173465,False
2.0,56.0,67.0,2563.783333,0.0,0.005797101,True
3.0,112.9607843,13.0,3014.018519,0.013068182,0.06140625,False
0.0,0.0,17.0,840.2333333,0.0,0.001666667,True
3.0,94.0,55.0,1970.844805,0.0,0.001724138,True
1.0,32.0,50.0,2867.0,0.0,0.004,True
0.0,0.0,5.0,43.0,0.0,0.04,False
5.0,218.0,13.0,284.5,0.0,0.004166667,False
0.0,0.0,3.0,133.5,0.0,0.088888889,False
1.0,119.0,12.0,297.6666667,0.0,0.008333333,False
3.0,7.5,16.0,453.75,0.0,0.005263158,False
1.0,18.0,16.0,1331.75,0.0,0.0125,True
2.0,40.0,5.0,558.5,0.0,0.028571429,False
3.0,107.0,4.0,145.8333333,0.0,0.016666667,False
0.0,0.0,8.0,731.0,0.0,0.04375,False
2.0,49.0,4.0,188.0,0.033333333,0.0375,False
0.0,0.0,14.0,565.3333333,0.037619048,0.04952381,False
0.0,0.0,2.0,50.0,0.0,0.05,False
4.0,57.0,7.0,591.0,0.006666667,0.033333333,False
2.0,2.0,10.0,281.0,0.0,0.042857143,False
2.0,123.0,18.0,483.8333333,0.0,0.02,False
2.0,118.0,4.0,42.0,0.0,0.066666667,False
0.0,0.0,35.0,1192.386111,0.005714286,0.028571429,False
0.0,0.0,12.0,198.0,0.016666667,0.075,False
0.0,0.0,3.0,15.0,0.0,0.066666667,False
2.0,38.0,14.0,643.0,0.0,0.013333333,True
0.0,0.0,5.0,23.0,0.0031124675,0.0251564025,False
0.0,0.0,4.0,14.0,0.0031124675,0.0251564025,False
1.0,54.0,6.0,210.5,0.0,0.02,False
1.0,7.5,28.0,1529.30467,0.001481481,0.009150327,False
0.0,0.0,2.0,19.0,0.0,0.1,False
5.0,74.25,37.0,1599.083333,0.0,0.006578947,False
0.0,0.0,9.0,102.5,0.0,0.022222222,False
0.0,0.0,16.0,2337.0,0.0,0.013333333,True
0.0,0.0,19.0,1883.5,0.010526316,0.021052632,False
2.0,32.0,50.0,1245.3,0.004,0.020666667,False
6.0,7.5,22.0,1674.583333,0.0,0.014666667,False
0.0,0.0,9.0,132.0,0.011111111,0.033333333,False
1.0,73.0,50.0,1434.255128,0.0,0.019230769,False
2.0,154.0,18.0,367.25,0.005263158,0.044210526,False
3.0,49.33333333,7.0,148.5,0.0,0.014081633,False
3.0,118.5,29.0,1482.210784,0.006896552,0.010600255,False
6.0,153.5,34.0,1048.492063,0.011578947,0.032225685,False
0.0,0.0,9.0,478.0,0.0,0.011111111,False
0.0,0.0,16.0,980.25,0.0,0.04,False
8.0,72.25,51.0,1124.693074,0.022807018,0.036550087,False
2.0,24.5,22.0,353.1666667,0.018181818,0.031818182,False
1.0,0.0,18.0,1489.083333,0.023529412,0.046470588,False
0.0,0.0,28.0,2389.333333,0.016666667,0.030833333,False
0.0,0.0,7.0,753.0,0.0,0.00952381,False
0.0,0.0,31.0,688.1666667,0.0,0.019354839,False
0.0,0.0,14.0,811.0,0.015384615,0.041025641,False
1.0,22.0,9.0,415.25,0.033333333,0.048148148,False
1.0,155.6313131,32.0,908.013456,0.005,0.01805276,True
1.0,21.33333333,71.0,2753.378571,0.012676056,0.015201207,False
2.0,191.0,46.0,2452.582143,0.007246377,0.022253906,False
0.0,0.0,18.0,598.9369047499999,0.0,0.05,False
0.0,0.0,2.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,5.0,57.0,0.0031124675,0.0251564025,False
0.0,0.0,2.0,8.0,0.0,0.1,False
4.0,96.5,19.0,1430.659091,0.01,0.025666667,False
1.0,13.0,2.0,20.0,0.0,0.05,False
5.0,7.5,4.0,1373.75,0.0,0.02,False
0.0,0.0,45.0,844.25,0.0,0.01037037,False
0.0,0.0,7.0,188.0,0.0,0.033333333,False
3.0,51.0,14.0,527.375,0.015555556,0.033862434,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
1.0,158.0,29.0,1916.761905,0.006451613,0.018709677,True
0.0,0.0,9.0,116.3333333,0.0,0.066666667,False
0.0,0.0,30.0,397.0,0.0,0.02,False
0.0,0.0,63.0,598.9369047499999,0.0,0.003329865,True
0.0,0.0,20.0,219.3333333,0.0,0.011666667,False
0.0,0.0,5.0,74.0,0.0,0.04,False
0.0,0.0,15.0,1559.6,0.0,0.033846154,False
0.0,0.0,6.0,236.5,0.0,0.016666667,False
1.0,10.0,14.0,348.6666667,0.035714286,0.053571429,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
1.0,28.0,13.0,224.5,0.0,0.014285714,False
4.0,27.0,42.0,601.7666667,0.0,0.004545455,False
0.0,0.0,5.0,75.5,0.02,0.013333333,False
0.0,0.0,2.0,153.0,0.0,0.05,False
4.0,15.0,10.0,197.2,0.0,0.016666667,True
0.0,0.0,18.0,598.9369047499999,0.016666667,0.05,False
0.0,0.0,5.0,1162.5,0.0,0.025,False
0.0,0.0,32.0,556.6,0.014583333,0.039583333,False
0.0,0.0,3.0,41.0,0.0,0.033333333,False
0.0,0.0,11.0,300.0714286,0.0,0.02,True
1.0,7.5,36.0,1626.625433,0.010638298,0.026186255,False
0.0,0.0,6.0,69.25,0.0,0.044444444,False
2.0,7.5,10.0,1169.1,0.02,0.05,False
0.0,0.0,8.0,402.0,0.0,0.038095238,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,35.0,3324.333333,0.011428571,0.024761905,False
1.0,215.5238095,18.0,3037.499952,0.002150538,0.007722385,False
0.0,0.0,4.0,59.0,0.0,0.05,False
1.0,11.0,51.0,1059.253472,0.010588235,0.022643039,False
2.0,20.0,7.0,720.0,0.0,0.011111111,False
0.0,0.0,40.0,905.4856061,0.0135,0.03747619,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
2.0,8.0,14.0,603.6666667,0.0,0.0125,True
0.0,0.0,13.0,328.9166667,0.0,0.014285714,True
0.0,0.0,33.0,778.8166667,0.0,0.022424242,False
4.0,171.25,22.0,851.5595238,0.004545455,0.031907308,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,3.0,227.5,0.0,0.022222222,False
5.0,227.3333333,17.0,528.9,0.0,0.002272727,False
0.0,0.0,15.0,872.8333333,0.0,0.026666667,False
0.0,0.0,2.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,35.0,835.0666667,0.012571429,0.044761905,False
0.0,0.0,4.0,82.5,0.0,0.05,False
0.0,0.0,1.0,13.0,0.0,0.1,False
0.0,0.0,2.0,9.0,0.0,0.1,False
0.0,0.0,2.0,7.0,0.0,0.1,False
0.0,0.0,12.0,94.5,0.033333333,0.025555556,False
5.0,86.0,23.0,267.3,0.0,0.016,False
0.0,0.0,29.0,3312.5,0.013793103,0.028965517,False
0.0,0.0,3.0,75.0,0.0,0.066666667,False
2.0,7.0,10.0,75.0,0.0031124675,0.0251564025,False
0.0,0.0,27.0,1547.5,0.003703704,0.014814815,False
7.0,186.9761905,35.0,1276.157071,0.0,0.008681765,False
3.0,138.0,54.0,2631.1,0.0,0.00969697,False
0.0,0.0,2.0,96.0,0.0,0.1,False
2.0,7.5,3.0,1370.0,0.0,0.025,False
2.0,61.0,5.0,97.0,0.0,0.04,False
1.0,14.0,46.0,1380.166667,0.0,0.01037037,False
1.0,38.0,23.0,1483.6,0.022916667,0.038373016,True
0.0,0.0,5.0,156.0,0.0,0.04,False
0.0,0.0,10.0,240.75,0.0,0.02,False
2.0,96.0,37.0,1238.5,0.005128205,0.016410256,False
6.0,7.5,68.0,2524.719048,0.0,0.000175593,False
4.0,111.0,4.0,54.0,0.0,0.028571429,False
2.0,147.0,2.0,35.0,0.0,0.05,False
0.0,0.0,15.0,175.9166667,0.013333333,0.026666667,False
3.0,53.16666667,11.0,263.6,0.0,0.003571429,False
2.0,58.0,7.0,101.8,0.0,0.011111111,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
3.0,48.5,55.0,1042.242857,0.0,0.002222222,False
1.0,21.0,21.0,613.6666667,0.008333333,0.023611111,False
4.0,115.3333333,64.0,1588.944444,0.003076923,0.009213675,False
0.0,0.0,75.0,598.9369047499999,0.002631579,0.017324561,False
1.0,8.0,14.0,269.5,0.0,0.019047619,False
1.0,32.28571429,8.0,1236.2,0.0,0.028571429,False
0.0,0.0,49.0,1384.016667,0.0,0.011904762,False
0.0,0.0,4.0,52.0,0.0,0.025,False
1.0,11.0,29.0,664.75,0.0,0.005057471,False
0.0,0.0,7.0,64.0,0.0,0.014285714,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,8.0,326.5,0.0031124675,0.0251564025,False
0.0,0.0,25.0,1690.977778,0.008,0.037333333,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
4.0,7.5,3.0,178.75,0.0,0.008,False
0.0,0.0,12.0,407.0,0.0,0.033333333,False
6.0,7.5,39.0,1513.566667,0.005128205,0.021367521,False
3.0,64.0,24.0,832.0909091,0.0,0.009876543,False
1.0,25.5,12.0,250.8333333,0.0,0.016666667,False
2.0,64.0,15.0,565.6666667,0.0,0.00625,False
0.0,0.0,10.0,194.0,0.02,0.04,False
8.0,130.0,19.0,298.0,0.0,0.016666667,False
9.0,79.0,55.0,1743.066667,0.0,0.004371585,False
3.0,84.0,27.0,655.9166667,0.0,0.011111111,False
0.0,0.0,30.0,1992.833333,0.0,0.003333333,True
0.0,0.0,3.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,24.0,308.8635531,0.0,0.028030303,False
3.0,41.0,46.0,2749.666667,0.0,0.005555556,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,25.0,812.0,0.0,0.008,False
0.0,0.0,12.0,166.0,0.028571429,0.071428571,False
1.0,14.0,4.0,65.0,0.0,0.05,False
4.0,86.0,46.0,2450.688095,0.027083333,0.047905093,False
0.0,0.0,10.0,226.8333333,0.0,0.01,False
3.0,7.5,9.0,341.0,0.0,0.007692308,True
0.0,0.0,13.0,226.0,0.0,0.053846154,False
1.0,11.88888889,18.0,598.9369047499999,9.83e-05,0.009438427,False
5.0,51.5,2.0,6.0,0.0,0.033333333,False
2.0,7.0,27.0,559.4,0.014814815,0.030452675,False
8.0,7.5,33.0,1109.883333,0.013888889,0.027742165,False
0.0,0.0,5.0,239.0,0.0,0.04,False
2.0,44.5,7.0,212.1666667,0.0,0.00625,False
1.0,3.0,81.0,2820.952419,0.008897485,0.029431012,False
0.0,0.0,6.0,44.0,0.0031124675,0.1,False
0.0,0.0,8.0,781.0,0.028571429,0.057142857,False
4.0,61.0,14.0,175.6666667,0.0,0.010588235,False
3.0,90.0,25.0,397.8846154,0.005333333,0.033504762,False
0.0,0.0,25.0,770.0285714,0.0112,0.034933333,False
2.0,102.5,22.0,1034.975,0.0,0.014,True
0.0,0.0,2.0,12.0,0.0,0.1,False
0.0,0.0,3.0,8.0,0.0031124675,0.0251564025,False
1.0,17.0,22.0,399.8,0.019047619,0.038095238,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
9.0,213.3214286,61.0,2258.430586,0.01,0.020655014,False
0.0,0.0,2.0,254.0,0.0,0.1,False
0.0,0.0,7.0,67.0,0.0,0.028571429,False
0.0,0.0,4.0,57.0,0.0,0.025,False
0.0,0.0,12.0,240.4166667,0.0,0.061688312,False
0.0,0.0,8.0,551.1666667,0.025,0.035,False
6.0,71.5,47.0,1532.2,0.009929078,0.019797366,True
0.0,0.0,7.0,379.5,0.0031124675,0.085714286,False
1.0,6.0,14.0,548.1857143,0.028571429,0.02987013,False
3.0,7.5,31.0,1735.301587,0.015625,0.0515625,False
0.0,0.0,3.0,103.0,0.0,0.022222222,False
7.0,151.0,44.0,1406.1,0.004081633,0.006501458,False
3.0,199.75,8.0,331.4,0.0,0.003333333,False
1.0,13.5,18.0,1759.275703,0.004545455,0.020644542,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
7.0,191.2,31.0,1204.600433,0.000854701,0.013342491,True
2.0,47.0,39.0,1743.366667,0.0,0.016410256,True
0.0,0.0,10.0,236.0,0.0,0.026666667,False
5.0,197.0,17.0,427.0833333,0.0,0.008695652,False
3.0,115.125,46.0,909.522619,0.004255319,0.020449173,False
4.0,7.5,14.0,702.9166667,0.0,0.014259259,False
0.0,0.0,40.0,962.3333333,0.0,0.01625,False
4.0,7.5,2.0,159.0,0.0,0.008,False
0.0,0.0,2.0,24.0,0.0,0.1,False
8.0,7.5,30.0,1569.625,0.0,0.008108108,True
3.0,66.33333333,15.0,424.8333333,0.0,0.0125,False
0.0,0.0,16.0,154.8333333,0.0,0.00625,False
2.0,190.0,37.0,758.4428571,0.0,0.010526316,False
4.0,174.0,11.0,305.875,0.0,0.001709402,False
3.0,227.0,2.0,62.0,0.0,0.025,False
1.0,23.0,15.0,656.25,0.028571429,0.028571429,False
0.0,0.0,29.0,617.5,0.006896552,0.01954023,False
0.0,0.0,15.0,245.0,0.0,0.0125,True
0.0,0.0,3.0,20.0,0.0,0.066666667,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,2.0,22.0,0.0,0.1,False
1.0,26.0,55.0,872.4,0.003508772,0.01754386,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,38.0,1372.0,0.005405405,0.018918919,False
2.0,41.0,7.0,139.0,0.022222222,0.055555556,False
4.0,74.0,18.0,598.9369047499999,0.003870968,0.007285123,True
0.0,0.0,5.0,288.5,0.0,0.0125,False
0.0,0.0,2.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,6.0,192.0,0.0,0.04,False
0.0,0.0,27.0,954.6666667,0.0,0.003846154,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
2.0,74.0,13.0,429.0,0.013333333,0.040444444,False
0.0,0.0,41.0,1546.5,0.0,0.008333333,False
2.0,45.0,9.0,96.46666667,0.0,0.018181818,False
2.0,112.0,9.0,198.8333333,0.0,0.006060606,False
0.0,0.0,8.0,181.0,0.0031124675,0.1,False
2.0,37.0,15.0,208.5,0.0,0.011764706,False
0.0,0.0,21.0,517.4238095,0.019047619,0.025,False
0.0,0.0,12.0,358.0666667,0.0,0.025,False
1.0,5.5,22.0,339.25,0.0,0.026984127,False
3.0,50.0,13.0,796.0,0.0,0.013333333,False
0.0,0.0,31.0,1759.416667,0.0,0.002903226,False
2.0,26.0,19.0,3277.0,0.015789474,0.037894737,False
0.0,0.0,13.0,265.1666667,0.0,0.046153846,False
5.0,113.5,13.0,437.2,0.0,0.002222222,False
0.0,0.0,6.0,92.0,0.0,0.066666667,False
3.0,7.5,0.0,0.0,0.0,0.05,False
3.0,228.0,23.0,1266.267677,0.002197802,0.037765568,False
3.0,55.0,2.0,19.0,0.0,0.033333333,False
6.0,112.5,47.0,1882.113409,0.004,0.019314286,False
1.0,17.0,12.0,616.4,0.0,0.018181818,False
0.0,0.0,5.0,155.0,0.04,0.053333333,False
0.0,0.0,11.0,814.5,0.0,0.01,False
0.0,0.0,21.0,460.4166667,0.019047619,0.036507937,False
0.0,0.0,5.0,819.5,0.0,0.036,False
1.0,8.5,30.0,659.2,0.0,0.006451613,False
0.0,0.0,5.0,427.0,0.0,0.04,False
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,17.0,766.5,0.0,0.0125,True
0.0,0.0,1.0,0.0,0.0031124675,0.0251564025,False
0.0,0.0,14.0,2425.0,0.0,0.007142857,False
7.0,7.5,11.0,416.5,0.0,0.007142857,False
0.0,0.0,15.0,638.6428571,0.003571429,0.053571429,False
0.0,0.0,8.0,445.0,0.0,0.014285714,False
0.0,0.0,4.0,81.0,0.0,0.025,False
0.0,0.0,20.0,1985.0,0.03,0.055,False
5.0,97.5,24.0,758.1444444,0.04,0.059846154,False
7.0,182.0833333,15.0,310.9,0.0,0.01,False
3.0,97.0,15.0,482.0,0.0125,0.025,False
0.0,0.0,2.0,0.0,0.0031124675,0.0251564025,False
3.0,34.83333333,30.0,709.8333333,0.026666667,0.046666667,False
